ID Tweet,ID User,Screen Name,Tweet,Timestamp,
b'1128197750258946049',b'2314649161',AbiJaka110,"b'@Yuri_Prasetyo_B @Pemilu_Kini @Ronnie_Rusli @prabowo @AkunTofa @Dahnilanzar @PriyoBudiS @yunartowijaya @sudirmansaid @msaid_didu @fadlizon @ReflyHZ @sjafriesjams Selamat Menunaikan Ibadah Puasa, bulan penuh berkah dan ampunan \xf0\x9f\x98\x8d'",5/14/2019 7:17,1
b'1128197628984881152',b'1100376740063436802',Hergunawan3,b'@fardhan_rizki @Dahnilanzar @prabowo @sandiuno Parameter dan wasit yang mestinya bilang bukan pemain bola atau supporter\xf0\x9f\x98\x8a',5/14/2019 7:17,0
b'1128197407617966081',b'3224300810',MPongtasik,"b'@eko_kuntadhi @prabowo Tp kalo cita2nya tercapai, kasihan dong anaknya yg katanya baru 3 hari. Orang tua yg bodoh, anaknya yg tanggung akibatnya'",5/14/2019 7:16,0
b'1128197363195973632',b'1064040134595629056',LilikSukses1975,"b'@prabowo Idealisme itu hasil pemikiran yg sempurna (versi manusia yaa, bukan versi ketuhanan). \n\nIdealisme pasti membekas dan meninggalkan kesan yg mendalam sehingga bisa mempengaruhi pikiran, ucapan, dan tindakan publik. \n\nSudah kodratnya manusia mengikuti kebenaran!'",5/14/2019 7:16,1
b'1128197361639903235',b'2534340504',8e9aca18c8de48f,b'@GJhosua @Dahnilanzar @prabowo @sandiuno Bukannya data dah dsampeiken ke bawaslu.. justru kita pongin liat apa yg dah dilakukan bawaslu terkait laporan tsb',5/14/2019 7:16,1
b'1128197271047131136',b'158998497',Iboyrollies,b'@BamsBulaksumur @prabowo @Restcayah @KingPurwa @PSD_313 nggak ada pertanyaan lain emang pak..???',5/14/2019 7:16,0
b'1128197166403543040',b'1128114056563281920',Comebac32914835,"b'@tienkustinii @MichelAdamNew @prabowo Mantap,,,,'",5/14/2019 7:15,1
b'1128196989101830144',b'1108409378590253056',ANDYBAC63403418,b'@Astuty64 @prabowo ..PASTI lebih siap dari pada mereka yg anak kemarin sore bagi beliau di Medan tempur',5/14/2019 7:14,0
b'1128196445947944960',b'1064040134595629056',LilikSukses1975,"b'@prabowo Apa solusinya? \nBagaimana cara seorang pemikir bisa mengalahkan hasil pemikirannya sendiri? \n\n(Silakan menertawakan kelucuan situasi dilema yg dihadapi @prabowo ini, memang lucu, meski sebenarnya kasihan juga.)'",5/14/2019 7:12,0
b'1128196438553497605',b'154032877',yusri_albima,b'@Zombie_9Q @AzisDevy @DivHumas_Polri Ank2 China itu jelas2 mengacam menembak dn memenggal serta telah menista Presiden @jokowi tp dibebaskan Polri. Sdngkan Santri Pribumi yg mengancam Capres Jokowi langsung diciduk dn diancam hukuman mati dgn tuduhan MAKAR pula. @prabowo @SBYudhoyono @sandiuno @Fahrihamzah',5/14/2019 7:12,0
b'1128196335688011776',b'1098545563291664390',Iyut58793032,"b'@Cheva_2 @prabowo No 1 malahan \xf0\x9f\xa4\xad caranya ""pra trus spasi"". https://t.co/o1o7KlgJSp'",5/14/2019 7:12,1
