ID Tweet,ID User,Screen Name,Tweet,Timestamp
b'1127122643667173376',b'733884079733538817',Ratumaya_03,b'@JajangRidwan19 Mantap \xf0\x9f\x92\xaa\xf0\x9f\x91\x8f\n#SusiDuaPeriode',2019-05-11 08:05:53
b'1127122640601141249',b'58166233',rzarfandi,b'@chicohakim @susipudjiastuti Layak #SusiDuaPeriode',2019-05-11 08:05:53
b'1127122624285368320',b'1108983220396187648',adamlahu,"b'Pakde @jokowi  this woman so full of achievement, hardship, and will make indonesia better as minister.\n#SusiDuaPeriode https://t.co/BEKRRt6heJ'",2019-05-11 08:05:49
b'1127122565028147201',b'733866115680477184',Ratumaya_02,b'@JajangRidwan19 Josss gandos\n#SusiDuaPeriode',2019-05-11 08:05:35
b'1127122528952938496',b'58166233',rzarfandi,b'@JajangRidwan19 Adeeem #SusiDuaPeriode',2019-05-11 08:05:26
b'1127122512523829248',b'1103998270043414531',PendirianT,b'@SZamyn @jokowi Tentu #SusiDuaPeriode',2019-05-11 08:05:22
b'1127122469859389440',b'733858637370691587',Ratumaya_01,b'@JajangRidwan19 Teruskan \xf0\x9f\x92\xaa\n#SusiDuaPeriode',2019-05-11 08:05:12
b'1127122457008037888',b'1970383322',inisialbe,b'#SusiDuaPeriode https://t.co/ViOj2XPgDD',2019-05-11 08:05:09
b'1127122450116792321',b'1119532004016410624',bani_aang,b'@CH_chotimah @susipudjiastuti @jokowi #SusiDuaPeriode',2019-05-11 08:05:07
b'1127122438209228805',b'1061059043664396288',Bbfoi1,b'Siapa yang berani tenggelamkan kapal2 penjarah kl bukan bu susi..\n#SusiDuaPeriode',2019-05-11 08:05:04
b'1127122421192900609',b'29445502',mahrey,"b'This pic say it all..epic, majestic, gutsy, breaking barrier, original, inspiring, love her ""dont mess with me "" attitude.\n\nKeep blowing the boats that steals in our ocean bu!!!  they see u (yes they do)\xe2\x9c\x8c\xf0\x9f\x92\x83\xf0\x9f\x91\x8a\xf0\x9f\x99\x8c\n\n#SusiDuaPeriode https://t.co/58xYhOpZEG'",2019-05-11 08:05:00
b'1127122419338977282',b'1103998270043414531',PendirianT,b'@adamlahu Y #SusiDuaPeriode',2019-05-11 08:05:00
b'1127122414305857537',b'58166233',rzarfandi,b'@JajangRidwan19 Makasih Bu #SusiDuaPeriode',2019-05-11 08:04:59
b'1127122362766249984',b'1102933123690487808',Cerry_ancrut,b'@HartawanJeremy Y #SusiDuaPeriode',2019-05-11 08:04:46
b'1127122360299966464',b'1112654209537597441',AccesHit,b'@JajangRidwan19 Lanjutkan gan\n#SusiDuaPeriode',2019-05-11 08:04:46
b'1127122305434378241',b'1020996135911972865',SaptoBudiRahar,b'@WongKhamFret @DivHumas_Polri @CCICPolri katanya dah terciduk... #SusiDuaPeriode \n\nhttps://t.co/Tqk5bzwDcm',2019-05-11 08:04:33
b'1127122271435350016',b'418029090',FHasanuddin,b'@PartaiSocmed @jokowi Ada banyak argumen bagi @jokowi untuk mempertahan @susipudjiastuti. Dukung #SusiDuaPeriode',2019-05-11 08:04:25
b'1127122269325545473',b'1101802599051800576',Sunyi_senyap_,b'@Ratumaya_02 @PakarLogika @susipudjiastuti Gas #SusiDuaPeriode',2019-05-11 08:04:24
b'1127122235120967680',b'1103250133901238272',manggacengkir91,b'@JajangRidwan19 Mantap gan\n#SusiDuaPeriode',2019-05-11 08:04:16
b'1127122229450330112',b'1113296704978137088',Tajima_ka,b'@martini_sw @justiceforfair Y #SusiDuaPeriode',2019-05-11 08:04:15
b'1127122190313213953',b'3009843979',yohanniasari,"b'Apa persamaan Bapak @jokowi dan Ibu @susipudjiastuti ??\nMereka sama-sama memulai kariernya dari 0, berkerja dari bawah, pengusaha kecil. Sekarang ? Yaa you all know that.. \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb\n\nGpp lah, sekali-kali ngetwitt gini. Biar ga seputar Kpop mulu \xf0\x9f\x98\x82\n#SusiDuaPeriode'",2019-05-11 08:04:05
b'1127122161171193857',b'1114839111620157442',Dadidu_de,b'@hudlaha Y #SusiDuaPeriode',2019-05-11 08:03:58
b'1127122158725914624',b'842172723161841664',rochman_hdprst,b'@PartaiSocmed @jokowi #SusiDuaPeriode',2019-05-11 08:03:58
b'1127122137888636929',b'1070223825684451328',okto1009,b'@justiceforfair Bu Susi saya suka saya suka #SusiDuaPeriode',2019-05-11 08:03:53
b'1127122091507982339',b'1114839111620157442',Dadidu_de,b'@eddollrusty @SuburBur Ok #SusiDuaPeriode',2019-05-11 08:03:42
b'1127122090316816384',b'164194150',ditadityhaw,b'@jokowi #SusiDuaPeriode https://t.co/byOXe15U3y',2019-05-11 08:03:41
b'1127122071752888320',b'57296896',hndsanjaya,b'@JajangRidwan19 Tul\n#SusiDuaPeriode',2019-05-11 08:03:37
b'1127122046163378176',b'4157338427',Bray_Mahri,"b'@justiceforfair Bu Susi ga banyak ngomong, tapi banyak kerja \xf0\x9f\x91\x8d\xf0\x9f\x91\x8d #SusiDuaPeriode'",2019-05-11 08:03:31
b'1127122042724208640',b'1114199625949310976',Udel011,b'@nsubagyohs @Nglaraz Y #SusiDuaPeriode',2019-05-11 08:03:30
b'1127121954681475073',b'1114199625949310976',Udel011,b'@Bray_Mahri @justiceforfair Y #SusiDuaPeriode',2019-05-11 08:03:09
b'1127121936352333824',b'4157338427',Bray_Mahri,b'@justiceforfair Cuma bu Susi yang berani tenggelamkan kapal nelayan asing yang mencuri di wilayah laut Indonesia #SusiDuaPeriode',2019-05-11 08:03:05
b'1127121918543269890',b'1103131867480379392',gracee_alexis,b'Masih Bingung Mencari Agen Judi Dengan Minimal Deposit 10.000? Hanya Di PokerAlibaba . online Dan Masih banyak Bonus Menarik Lainnya! info: BBM 2C26E899 | WA +855717622777\n\n#TiketPesawatTidakMahal\n#JaringanDataTerkuat\n#DigiIftar\n#SusiDuaPeriode\n#KBIftar https://t.co/efoxURjwOl',2019-05-11 08:03:00
b'1127121894233165824',b'1103998270043414531',PendirianT,b'@ichalh7 @PartaiSocmed @jokowi Dukung #SusiDuaPeriode',2019-05-11 08:02:55
b'1127121891695554560',b'1070223825684451328',okto1009,b'@justiceforfair Wanita hebat #SusiDuaPeriode',2019-05-11 08:02:54
b'1127121881713168384',b'935476968790700033',BungaranSipayu1,"b'Yang baik harus dipertahankan, saya sangat puas dengan keberhasilan ibu Susi memberantas ilegal fhising #SusiDuaPeriode'",2019-05-11 08:02:52
b'1127121820333699072',b'1102933123690487808',Cerry_ancrut,b'@Ratumaya_03 @PakarLogika @susipudjiastuti Y #SusiDuaPeriode',2019-05-11 08:02:37
b'1127121814562324480',b'164194150',ditadityhaw,b'#SusiDuaPeriode https://t.co/NbhKLfUbdL',2019-05-11 08:02:36
b'1127121763475673088',b'1101802599051800576',Sunyi_senyap_,b'@Iam_Cinta89 Yo #SusiDuaPeriode',2019-05-11 08:02:23
b'1127121760996872192',b'164194150',ditadityhaw,b'#SusiDuaPeriode https://t.co/eo318WlcFm',2019-05-11 08:02:23
b'1127121614007463936',b'1117744893294546944',NeysaPrisca,"b'FIFA Skors Agen Paul Pogba, Mino Raiola Selama Tiga Bulan\n\nKlik Link Di Bawa Ini:\nhttps://t.co/pdHF9q7Bin\n\n#TiketPesawatTidakMahal #JaringanDataTerkuat #DigiIftar\n#KBIftar #SusiDuaPeriode #agenresmisbo #binbincash https://t.co/vJSCpE2Ge6'",2019-05-11 08:01:48
b'1127121208481202176',b'1113296704978137088',Tajima_ka,b'Untuk #SusiDuaPeriode',2019-05-11 08:00:11
b'1127121206950318080',b'1113296704978137088',Tajima_ka,b'Lagi #SusiDuaPeriode',2019-05-11 08:00:11
b'1127121205096472577',b'1113296704978137088',Tajima_ka,b'Terpilih #SusiDuaPeriode',2019-05-11 08:00:10
b'1127121204035211265',b'861231807953387523',Nurhayati_sumba,b'@Sandblazt @DadiPujiadiReza Semoga beruntung #SusiDuaPeriode',2019-05-11 08:00:10
b'1127121203515125760',b'1113296704978137088',Tajima_ka,b'Biar #SusiDuaPeriode',2019-05-11 08:00:10
b'1127121201803907073',b'1113296704978137088',Tajima_ka,b'Ibu susi #SusiDuaPeriode',2019-05-11 08:00:10
